Name,Description
Aatxe,Spirit that takes the form of a bull.
Abaasy,Demons that have teeth of iron.
Abada,Small type of unicorn reported to live in the lands of the African Congo.
Abaia,Huge magical eel.
Abarimon,Savage humanoid with backward feet.
Abura-sumashi,Creature from a mountain pass in Kumamoto Prefecture.
Acephali,Headless humanoids.
Achlis,Curious elk.
Adar Llwch Gwin,Giant birds that understand human languages.
Adaro,Malevolent merfolk.
Adhene,Nature spirit.
Adroanzi,Nature spirit.
Aerico,Disease demon.
Agni,God of fire and sacrifices.
Agathodaemon,Spirit of vinefields and grainfields.
Agloolik,Ice spirit that aids hunters and fishermen.
Ahkiyyini,Animated skeleton that causes shipwrecks.
Ahlden Gentree,Demon with enormous jaw.
Aigamuxa,Anthropophagous humanoid with eyes in its instep.
Airavata,Divine Elephant.
Aitu,Malevolent spirits or demons.
Aitvaras,Household spirit.
Ajatar,Dragon.
Akka,Female spirits or minor goddesses.
Akki,Large; grotesque humanoid.
Akkorokamui,Sea monster.
Akuma,Evil spirit.
Akupara,Giant turtle that supports the world.
Al,Spirit that steals unborn babies and livers from pregnant women.
Ala,Bad weather demon.
Alal,queen of the full moon.
Alan,Winged humanoid that steals reproductive waste to make children.
Alce,Wingless griffin.
Aleya,Spirit of a dead fisherman.
Alicanto,Bird that eats gold and silver.
Alkonost,Angelic bird with human head and breasts.
Almas,Savage humanoid.
Aloja,Female water spirit.
Al Rakim,Guard dog of the Seven Sleepers.
Alseid,Grove nymph.
Alu,Leprous demon.
Alux,Little people.
Amaburakosagi,Ritual disciplinary demon from Shikoku.
Amala,Giant who holds up the world.
Amamehagi,Ritual disciplinary demon from Hokuriku.
Amanojaku,Small demon.
Amarok,Giant wolf.
Amarum,Water boa spirit.
Amemasu,Lake monster.
Ammit,Female demon with a body that was part lion; hippopotamus and crocodile.
Amoronagu,Tennyo from the island of Amami Oshima.
Amphiptere,Winged serpent.
Amphisbaena,Serpent with a head at each end.
Anak,Giant.
Angel,From the Greek angelos; divine beings of Heaven who act as mediators between God and humans; the counterparts of Demons.
Ani Hyuntikwalaski,Lightning spirit.
Ankou,Skeletal grave watcher with a lantern and a scythe.
Anmo,Ritual disciplinary demon from Iwate Prefecture.
Antaeus,Giant who was extremely strong as long as he remained in contact with the ground.
Anubis,God of the Underworld
Antero Vipunen,Subterranean giant.
Ao Ao,Anthropophagous peccary or sheep.
Aobozu,Blue monk who kidnaps children.
Apsaras,Female cloud spirit.
Arion,Extremely swift horse with a green mane and the power of speech.
Arkan Sonney,Fairy hedgehog.
Asag,Hideous rock demon.
Asakku,Demon.
Asiman,Vampiric possession spirit.
Askefrue,Female tree spirit.
Asobibi,Spectral fire from Kochi Prefecture.
Asrai,Water spirit.
Astomi,Humanoid sustained by pleasant smells instead of food.
Atomy,Surprisingly small creature.
Atshen,Anthropophagous spirit.
Auloniad,Pasture nymph.
Avalerion,King of the birds.
Ayakashi,Sea serpent that travels over boats in an arc while dripping oil.
Aziza,Little people that help hunters.
Azukiarai,Spirit that washes azuki beans along riversides.
Azukitogi,Spirit that washes azuki beans along riversides.
Baba Yaga,Forest spirit and hag
Backoo,Malevolent little people
Bagiennik,Malevolent water spirit
Bahamut,Giant fish
Bardha,Mountain spirit
Bar Juchne,Bird
Bai Ze,Talking beast which handed down knowledge on harmful spirits
Ba Jiao Gui,Banana tree spirit
Bakeneko,Magical cat
Bakezori,Animated straw sandal
Bakhtak,Night demon
Bakunawa,Sea serpent that causes eclipses
Bannik,Bathhouse spirit
Banshee,Death spirit
Baobhan Sith,Beautiful vampiric seductresses who prey on young travelers
Bardi,Shapechanging death spirit
Barghest,black dog
Bar Juchne,Gigantic bird
Barnacle Geese,Geese which hatch from barnacles
Barong,Tutelary spirit
BasCelik,Powerful; evil winged man whose soul is not held by his body and can be subdued only by causing him to suffer dehydration
Bathala,Primordial god of creation
Batsu,Drought spirit
Baubas,Malevolent spirit
Baykok,Flying skeleton
Bean Nighe,Death spirit; a type of Banshee/Bean Sidhe
Behemoth,Massive beast; possibly like a dinosaur or crocodile
Bendigeidfran,Giant king
Berehynia,Water spirit
Bergsra,Mountain spirit
Bestial beast,Centauroid specter
Bhuta,Ghost of someone killed by execution or suicide
Bies,Demon
Binbogami,Spirit of poverty
Black Dog,Canine death spirit
Black Shuck,black dog
Blemmyae,Headless humanoid with face in torso
Bloody Bones,Water bogeyman
Blue Crow,Giant amazonian bird.
Bodach,Malevolent spirit
Bogeyman,Malevolent spirit
Boggart,Malevolent household spirit
Boginki,Nature spirit
Bogle,Malevolent spirit
Bolla,Dragon
Boobrie,Roaring water bird
Bozaloshtsh,Death spirit
Brag,Malevolent water horse
Brownie,Benevolent household spirit
Broxa,Nocturnal bird that drains goats of their milk
Bugbear,Bearlike goblin
Bugul Noz,Extremely ugly; but kind; forest spirit
Bush Dai Dai,Spirit that seduces and kills men
Bysen,Diminutive forest spirit
Cabeiri,Smith and wine spirit
Caladrius,White bird that can foretell if a sick person will recover or die
Callitrix,Apes who always bear twins; one the mother loves; the other it hates
Calydonian Boar,Giant; chthonic boar
Cambion,Offspring of a human and an incubus or succubus; general term for any kind of human/demon hybrid
Camulatz,Bird that ate the heads of the first men
Candileja,Spectral; fiery hag
Canotila,Little people and tree spirits
Chapa,Beaver spirit
Capcaun,Large; monstrous humanoid
Carbuncle,Small creature with a jewel on its head
Cat Sidhe,Fairy cat
Ceffyl Dwr,Malevolent water horse
Cerastes,Extremely flexible; horned snake
Cercopes,Mischievous forest spirit
Cericopithicus,Apes who always bear twins; one the mother loves; the other it hates
Ceryneian Hind,Hind with golden antlers and bronze or brass hooves
Cetan,Hawk spirit
Chakora,Lunar bird
Chaneque,Little people and nature spirits
Charybdis,Sea monster in the form of a giant mouth
Chepi,Ancestral spirit that instructs tribe members
Chibaiskweda,Ghost of an improperly buried person
Chindi,Vengeful ghost that causes dust devils
Chochinobake,Animated paper lantern
Chol,Regenerative bird
Chollima,Supernaturally fast horse
Chonchon,Disembodied; flying head
Choorile,Ghost of a woman that died in childbirth
Chromandi,Hairy savage with dog teeth
Chrysaor,Son of the gorgon Medusa; imaged as a giant or a winged boar
Chrysomallus,Golden haired winged ram
Chukwa,Giant turtle that supports the world
Chupacabra,Cryptid beast; named for its habit of sucking the blood of goats and other livestock
Churel,Vampiric; female ghost
Ciguapa,Malevolent seductress
Cihuateteo,Ghost of women that died in childbirth
Cikavac,Bird that serves its owner
Cinnamon bird,Giant bird that makes its nest out of cinnamon
Cirein croin,Sea serpent
Coblynau,Little people and mine spirits
Cofgod,Cove god
Corycian nymphs,Nymph of the Corycian Cave
Cretan Bull,Monstrous bull
Crinaeae,Fountain nymph
The Cu Bird,El Pajaro Cu; a bird.
Cuco,Bogeyman
Cucuy,Malevolent spirit
Cuelebre,Dragon
Curupira,Nature spirit
Cu Sith,Gigantic fairy dog
Cwn Annwn,Underworld hunting dog
Cyhyraeth,Death spirit
Dactyl,Little people and smith and healing spirits
Daemon,Incorporeal spirit
Dahu,Like a deer or ibex with legs on one side of its body are shorter than on the other side
Daidarabotchi,Giant responsible for creating many geographical features in Japan
Daitengu,Most powerful class of tengu; each of whom lives on a separate mountain
Daitya,Giant.
Danava,Water demon.
Daphnaie,Laurel tree nymph.
Dead Sea Apes,Human tribe turned into apes for ignoring Moses' message.
Deity,Preternatural or supernatural possibly immortal being.
Demon,From the Greek daimon; chthonic entities of Hell often seen as Satan's minions who are inimical to mankind; the counterparts of Angels.
Demigod,Half human; half god.
Dhampir,Human/vampire hybrid.
Diao Si Gui,Hanged ghost.
Dilong,Earth dragon.
Dip,Demonic and vampiric dog.
Di Penates,House spirit.
Dipsa,Extremely poisonous snake.
Dirawong,Goanna spirit.
Di sma undar jordi,Little people and nature spirits.
Diwata,Tree spirit.
Dokkaebi,Grotesque; horned humanoids.
Dokkalfar,Male ancestral spirits; the Dark Elves.
Dola,Tutelary and fate spirit.
Domovoi,House spirit.
Doppelganger,Ghostly double.
Drac,Winged sea serpent.
Drakon,Greek dragons.
Drakaina,Dragons depicted with female characteristics.
Draugr,Undead.
Drekavac,Restless ghost of an unbaptised child.
Drow,Cavern spirit.
Drude,Possessing demon.
Druk,Dragon.
Dryad,Tree nymph.
Duende,Little people and forest spirits.
Duergar,Malevolent little people.
Dullahan,Headless death spirit.
Duwende,Little people; some are house spirits; others nature spirits.
Dvergr,Subterranean little people smiths.
Dvorovoi,Courtyard spirit.
Dwarf,Little people nature spirits.
Engkanto,Neutral nature spirit
Fachen,Monster with half a body
Fafnir,Dwarf who was cursed and turned into a Dragon. Later slain by Sigurd in the Saga ofNibelung.
Fairy,Nature spirits
Familiar,Animal servant
Far darrig,Little people that constantly play pranks
Fear gorta,Hunger ghost
Feathered Serpent,dragon
Fei Lian,Chinese god of the wind
Fenghuang,Chinese Phoenix; female in marriage symbol
Fenodyree,House spirit
Fenrir,Gigantic; ravenous wolf
Fetch,Double or doppelganger
Fext,Undead
Fir Bolg,Ancestral race
Fire Bird,Regenerative; solar bird
Firedrake,Dragon
Forest Bull,Giant; red cattle with swiveling horns
Freybug,black dog
Fuath,Malevolent water spirit
Fucanglong,Underworld dragon
Funayurei,Ghosts of people who drowned at sea
Fylgja,Animal familiar
Gaasyendietha,Dragon
Gagana,Bird with iron beak and copper talons
Gaki,Ghosts of especially greedy people
Gallu,Underworld demons
Galtzagorriak,Diminutive; demonic servants
Gamayun,Prophetic bird with human head
Gana,Attendants of Shiva
Gancanagh,Male fairy that seduces human women
Gandharva,Male nature spirits; often depicted as part human; part animal
Gargouille,Water dragon
Garmr,Giant; ravenous hound
Gashadokuro,Giant; malevolent skeletons
Gaueko,Wolf capable of walking upright
Ged,The fish pike
Genie,Elemental spirit
Genius loci,Spirit that protects a specific place
German,Male spirit associated with bringing rain and hail
Ghillie Dhu,Tree guardian
Ghost,Disembodied spirits; specifically of those that have died
